,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,Clyde River,CA,1540296660,70.47,-68.59,14.0,90,92,31.09
1,Mao,DO,1540296000,19.55,-71.08,73.4,20,100,7.52
2,Rikitea,PF,1540297547,-23.12,-134.97,70.1,100,100,3.49
3,Marathon,CA,1540296000,48.72,-86.38,33.8,75,86,19.46
4,Ngerengere,TZ,1540296000,-6.76,38.13,86.0,40,42,7.96
5,Saskylakh,RU,1540297549,71.97,114.09,12.5,80,85,4.61
6,Albany,US,1540295640,42.65,-73.75,42.8,75,81,3.15
7,Busselton,AU,1540297549,-33.64,115.35,59.17,48,100,9.19
8,Inhuma,BR,1540297550,-6.67,-41.71,87.02,0,52,14.45
9,Bredasdorp,ZA,1540296000,-34.53,20.04,93.2,0,23,11.41
10,Vaini,IN,1540297550,15.34,74.49,72.53,8,96,2.15
11,Bluff,AU,1540297254,-23.58,149.07,76.45,8,56,9.86
12,Upernavik,GL,1540297550,72.79,-56.15,16.28,8,100,11.77
13,San Vicente,SV,1540295400,13.64,-88.78,77.0,20,100,4.7
14,Torbay,CA,1540296000,47.66,-52.73,41.0,20,100,13.87
15,Ushuaia,AR,1540292400,-54.81,-68.31,41.0,40,100,23.04
16,Billings,US,1540295580,45.79,-108.5,35.6,1,74,9.17
17,Georgetown,GY,1540292400,6.8,-58.16,75.2,40,100,2.24
18,Broome,GB,1540295760,52.47,1.45,59.0,0,67,23.04
19,Belmonte,PT,1540297403,40.36,-7.35,62.27,20,67,5.39
20,Mataura,NZ,1540297552,-46.19,168.86,58.22,80,97,4.05
21,Red Bluff,US,1540295700,40.18,-122.24,50.0,1,61,4.7
22,Narsaq,GL,1540295400,60.91,-46.05,33.8,75,83,1.12
23,Mar del Plata,AR,1540297553,-46.43,-67.52,47.6,0,76,3.6
24,Tuktoyaktuk,CA,1540297553,69.44,-133.03,23.75,64,100,9.98
25,Atuona,PF,1540297553,-9.8,-139.03,80.86,76,98,16.46
26,Cape Town,ZA,1540296000,-33.93,18.42,95.0,20,24,19.46
27,Ilulissat,GL,1540295400,69.22,-51.1,1.4,20,45,5.82
28,Avarua,CK,1540292400,-21.21,-159.78,71.6,90,68,8.05
29,Pimentel,BR,1540297554,-3.7,-45.5,83.33,24,85,4.38
30,San Jose,PH,1540297479,15.79,120.99,73.75,0,92,0.81
31,Dicabisagan,PH,1540297555,17.08,122.42,74.92,24,100,9.42
32,Pisco,PE,1540296000,-13.71,-76.2,64.4,90,82,1.12
33,Castro,CL,1540297556,-42.48,-73.76,46.52,8,96,4.38
34,Vigrestad,NO,1540295400,58.57,5.7,51.8,75,71,23.04
35,College,US,1540295880,64.86,-147.8,32.0,1,70,6.93
36,Hermanus,ZA,1540297557,-34.42,19.24,93.73,0,23,4.94
37,Kuala Terengganu,MY,1540296000,5.33,103.14,80.6,75,88,1.12
38,Svetlogorsk,RU,1540294200,53.14,59.15,50.0,20,46,13.42
39,Tasiilaq,GL,1540295400,65.61,-37.64,28.4,75,58,6.93
40,Manaure,CO,1540296000,11.78,-72.45,78.8,40,88,6.96
41,Norman Wells,CA,1540296000,65.28,-126.83,26.6,75,100,2.71
42,Kabanjahe,ID,1540297557,3.1,98.49,69.52,88,93,2.15
43,Tiksi,RU,1540297558,71.64,128.87,13.18,36,82,17.69
44,Faanui,PF,1540297561,-16.48,-151.75,81.85,88,96,11.21
45,Houma,CN,1540297561,35.63,111.36,43.82,0,75,2.15
46,Norwood,US,1540295760,42.19,-71.2,46.4,90,87,5.82
47,Kavaratti,IN,1540297397,10.57,72.64,85.18,8,100,8.63
48,Ribeira Grande,PT,1540296000,38.52,-28.7,71.6,40,68,20.8
49,Saint-Augustin,FR,1540296000,44.83,-0.61,64.4,0,59,11.41
50,Ayolas,PY,1540297562,-27.39,-56.84,72.62,88,81,14.45
51,Micheweni,TZ,1540297562,-4.97,39.83,80.59,36,94,27.42
52,Aswan,EG,1540292400,24.09,32.9,100.4,0,13,2.24
53,Bon Air,US,1540295760,37.52,-77.56,46.4,1,87,4.7
54,Ranghulu,CN,1540297563,46.63,124.88,41.3,32,60,7.18
55,Luderitz,NA,1540292400,-26.65,15.16,75.2,0,57,4.7
56,Cherskiy,RU,1540297468,68.75,161.3,8.86,88,86,3.38
57,San Patricio,PY,1540297564,-26.98,-56.83,74.6,88,79,6.73
58,Provideniya,RU,1540297564,64.42,-173.23,36.49,48,100,15.46
59,Karratha,AU,1540297450,-20.74,116.85,85.18,0,15,12.77
60,Puerto Ayora,EC,1540296000,-0.74,-90.35,68.0,75,88,11.41
61,Vao,EE,1540297565,59.1,26.19,43.55,68,87,12.33
62,East London,ZA,1540296000,-33.02,27.91,80.6,0,51,12.75
63,Tuatapere,NZ,1540297566,-46.13,167.69,59.3,76,80,8.41
64,Madang,PG,1540297566,-5.21,145.81,75.5,92,100,3.6
65,Moerai,PF,1540297566,-22.43,-151.33,69.47,100,100,8.63
66,Biala Podlaska,PL,1540295400,52.03,23.12,42.8,90,93,17.9
67,Shimoda,JP,1540297567,34.7,138.93,66.68,24,100,15.68
68,Punta Alta,AR,1540294200,-27.46,-55.82,73.4,90,77,4.83
69,Ancud,CL,1540297567,-41.87,-73.83,48.01,8,77,4.16
70,Kaitangata,NZ,1540297331,-46.28,169.85,57.77,88,89,3.71
71,Guerrero Negro,MX,1540297567,27.97,-114.04,63.62,92,100,8.41
72,Sinnamary,GF,1540297567,5.38,-52.96,82.25,0,93,11.21
73,Salalah,OM,1540291800,17.01,54.1,86.0,20,62,9.17
74,Ziro,IN,1540297568,27.54,93.82,59.26,88,73,0.58
75,Chemal,RU,1540297568,51.41,86.0,25.51,80,67,2.15
76,Nikolskoye,RU,1540294200,59.7,30.79,42.8,75,81,4.47
77,Kutum,SD,1540297569,14.2,24.66,90.49,0,26,7.18
78,Soluno-Dmitriyevskoye,RU,1540294200,44.4,42.73,64.4,75,55,8.95
79,Yellowknife,CA,1540296000,62.45,-114.38,24.8,40,92,5.82
80,San Cristobal,EC,1540296000,-0.39,-78.55,42.8,0,87,1.12
81,Barcelos,PT,1540296000,41.53,-8.62,75.2,0,38,16.11
82,Petropavlovka,RU,1540297570,50.61,105.32,29.29,0,84,2.71
83,Lincoln,GB,1540295400,53.23,-0.54,60.8,75,71,17.22
84,Port Elizabeth,US,1540295760,39.31,-74.98,51.8,1,93,8.41
85,Yinchuan,CN,1540297570,38.48,106.21,45.31,0,55,7.52
86,Nantucket,US,1540296900,41.28,-70.1,51.8,90,87,8.05
87,Rosarito,CO,1540296000,4.91,-75.23,68.0,75,100,2.71
